id,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,symboling_0,symboling_1,symboling_2,symboling_3,symboling_-1,symboling_Rare,make_toyota,make_Rare,make_nissan,make_mazda,make_peugot,make_mitsubishi,make_subaru,make_volkswagen,make_mercedes-benz,make_bmw,fuel-type_gas,fuel-type_diesel,aspiration_std,aspiration_turbo,num-of-doors_four,num-of-doors_two,num-of-doors_Rare,body-style_sedan,body-style_hatchback,body-style_wagon,body-style_hardtop,body-style_convertible,drive-wheels_fwd,drive-wheels_rwd,drive-wheels_4wd,engine-location_front,engine-location_Rare,engine-type_ohc,engine-type_ohcf,engine-type_l,engine-type_ohcv,engine-type_dohc,engine-type_Rare,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_five,num-of-cylinders_Rare,fuel-system_mpfi,fuel-system_2bbl,fuel-system_idi,fuel-system_spdi,fuel-system_1bbl,fuel-system_Rare,normalized-losses_na,bore_na,stroke_na,horsepower_na,peak-rpm_na,price
95,0.08022265082253299,0.7664191104282804,0.7541700504900408,0.7218573946727518,0.7963993949230153,0.7311734258949254,0.5882523303971601,0.7439253894300399,0.3642477290253333,0.1805897286654029,0.852083280197205,0.41292465577724724,0.13999962721375409,0.22227280382642722,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7275918858677567
15,0.44436365520155846,0.5768883843374842,0.5022173796995772,0.5455253500777592,0.6356357318249161,0.3134993304676702,0.32578450039267953,0.30401417990412205,0.4867938727894596,1.0,0.0,0.28602178097786796,0.8112936352372684,0.9077743006604247,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.23372549691571967
30,0.7763698715359337,0.6970092574773237,0.5829584436299978,0.44443695786136966,0.5093692453448725,0.39492097550136523,0.43001926997626155,0.6514456711333712,0.22793674850077406,0.5244865788519404,0.5335090451110877,0.6935876920628057,0.3916095846584706,0.45849529808732037,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6670618676620691
158,0.4380977201834698,0.12026264967264855,-0.07103652510726666,-0.5697240040575019,0.40906574503135856,-0.27386890280916937,-0.13047346827064843,0.2377519124786001,0.31422692185145257,0.6469706002960794,-0.0558060215281454,0.41292465577724724,1.0441986051730279,1.0672491619735167,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0032201185026069783
128,0.46195317193528057,0.5213142936853684,0.5266086320714943,0.6393275466560957,0.13115190737637517,0.6464799577287621,0.7044264767873872,0.7205896079619665,0.7739073139341163,0.0,0.7832338639993,0.3711177591351418,0.22846083062978245,0.2926970850995184,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.6073030114608414
115,0.46195317193528057,0.18935961086619146,0.4554140021490733,0.4750586530196923,0.26147274385004543,0.5767860618321602,0.8140919966916176,0.8385262208804847,0.26418102088447254,0.6469706002960794,1.0000000000000002,0.7325272636853788,0.13999962721375409,0.32710736738347623,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.910606381940869
69,0.15709084243619031,0.4013695822512967,0.24738642362002344,0.2714692193028108,0.6356357318249161,0.30011831013172485,0.43001926997626155,0.7439253894300399,0.17315054353682371,0.50374018640653,0.2639083818739022,0.11140577640586674,0.49907407851659263,0.5196387412855995,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22013993056293255
171,0.3219719019812939,0.39127503802503105,0.2809434856966848,0.34454413987689925,0.4912148071087745,0.06218140858914084,0.26194465806331363,0.3173966489622637,0.3642477290253333,0.563441032789572,0.20562039028152101,0.3711177591351418,0.6520146065618775,0.7117412980253828,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.09192510282358987
175,0.6782349832959715,0.45936306954642425,0.45201207807420485,0.3086418248018657,0.3539188041686716,0.2768034576247633,0.33594629016306377,0.42632941171144545,0.31422692185145257,0.563441032789572,0.2292853091919222,0.28602178097786796,0.593756261632401,0.6053151342501802,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2692529089037075
45,0.25394592391252524,0.8508588103761877,0.7541700504900408,0.8416271171101011,0.6176739039327278,0.6565248186966114,0.6439678240336331,0.8704667766573329,0.3642477290253333,0.6469706002960794,0.6237555753677385,0.5352984966400189,0.3916095846584706,0.4266844071932441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6781509573001366
66,0.46195317193528057,0.45000683957101795,0.48568408479357206,-0.1667203339610268,0.43653187327169285,0.36053758810531245,0.45555648337638194,0.5108139792737759,0.4003449683218939,0.45960557614452935,0.3192458701806751,0.28602178097786796,0.42904079387544297,0.45849529808732037,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.15263108367298348
183,0.10622895473899102,0.5128484759160323,0.468945738536983,0.23304376937614646,0.9382148258222102,0.32546456543310887,0.2729257294527977,0.3308262323830598,0.31422692185145257,0.563441032789572,0.13187209575645137,0.28602178097786796,0.6520146065618775,0.6857984078032575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16393519280178917
165,0.5962315130641124,0.4955296442931666,0.45711214589075433,0.5712010744309315,0.0750352423565323,0.38908900970415927,0.0,0.5348023917848591,0.41149599788316205,0.6317677899073935,0.5335090451110877,0.7712573167069969,0.13999962721375409,0.257741928214566,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0.5761454995228015
